ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
721,15,362,1.4%,2016,NA,NA,NA
722,50123,284,1.1%,2016,TARCÍSIO MOTTA,PSOL,VEREADOR
723,12003,282,1.1%,2016,CARLINHOS SILVA,PDT,VEREADOR
724,14001,230,0.9%,2016,ALEX COSTA,PTB,VEREADOR
725,25622,201,0.8%,2016,CARLO CAIADO,DEM,VEREADOR
726,20010,199,0.8%,2016,CLÁUDIO CASTRO,PSC,VEREADOR
727,30000,181,0.7%,2016,MARCELO BANDEIRA,NOVO,VEREADOR
728,25015,175,0.7%,2016,MARCELLO BARBOSA,DEM,VEREADOR
729,65023,167,0.7%,2016,GREGO DO RIO DAS PEDRAS,PC do B,VEREADOR
730,77456,164,0.6%,2016,DR. JORGE MANAIA,SD,VEREADOR
731,31031,156,0.6%,2016,MARCELO PIUI,PHS,VEREADOR
732,25500,148,0.6%,2016,CESAR MAIA,DEM,VEREADOR
733,50,140,0.6%,2016,NA,NA,NA
734,77044,133,0.5%,2016,DR. CARLOS EDUARDO,SD,VEREADOR
735,20200,131,0.5%,2016,OTONI DE PAULA JR,PSC,VEREADOR
736,55,127,0.5%,2016,NA,NA,NA
737,15999,125,0.5%,2016,DR. JOÃO RICARDO,PMDB,VEREADOR
738,31888,116,0.5%,2016,MARCELLO SICILIANO,PHS,VEREADOR
739,12129,114,0.5%,2016,CARLINHOS MISSIL GARCIA,PDT,VEREADOR
740,45,106,0.4%,2016,NA,NA,NA
741,14000,106,0.4%,2016,MARCELO ARAR,PTB,VEREADOR
742,50777,101,0.4%,2016,MARIELLE FRANCO,PSOL,VEREADOR
743,12777,96,0.4%,2016,DUDA PETRA,PDT,VEREADOR
744,15002,92,0.4%,2016,VERÔNICA COSTA,PMDB,VEREADOR
745,33103,91,0.4%,2016,JORGINHO  VISÃO,PMN,VEREADOR
746,65,84,0.3%,2016,NA,NA,NA
747,13535,78,0.3%,2016,LUCIANA NOVAES,PT,VEREADOR
748,36071,78,0.3%,2016,LUIZ KBELINHO,PTC,VEREADOR
749,40762,78,0.3%,2016,RICARDO MENDES,PSB,VEREADOR
750,14011,77,0.3%,2016,ADELSON GUEDES,PTB,VEREADOR
751,15620,75,0.3%,2016,JUNIOR DA LUCINHA,PMDB,VEREADOR
752,25456,73,0.3%,2016,MATHEUS FLORIANO,DEM,VEREADOR
753,20,71,0.3%,2016,NA,NA,NA
754,70111,61,0.2%,2016,VALDIR CORREA,PT do B,VEREADOR
755,19322,60,0.2%,2016,SALATHIEL SALADA,PTN,VEREADOR
756,12,59,0.2%,2016,NA,NA,NA
757,15006,58,0.2%,2016,ANDRADE,PMDB,VEREADOR
758,77777,51,0.2%,2016,DR. SERGIO ALVES,SD,VEREADOR
759,33193,47,0.2%,2016,BOLA MACEDO,PMN,VEREADOR
760,90123,47,0.2%,2016,PAULO MESSINA,PROS,VEREADOR
761,NA,3356,13.4%,2018,Branco,NA,NA
762,NA,3098,12.4%,2018,Nulo,NA,NA
763,22006,1857,7.4%,2018,CLEUSA PRETA LOIRA,PR,DEPUTADO ESTADUAL
764,22101,1547,6.2%,2018,PEDRO BRAZAO,PR,DEPUTADO ESTADUAL
765,NA,612,2.4%,2018,ROBSON LEITE,NA,NA
766,10123,541,2.2%,2018,TIA JU,PRB,DEPUTADO ESTADUAL
767,NA,453,1.8%,2018,RODRIGO AMORIM,NA,NA
768,NA,436,1.7%,2018,PSL,NA,NA
769,17010,379,1.5%,2018,LEOPOLDO CANAL,PSL,DEPUTADO ESTADUAL
770,NA,368,1.5%,2018,PT,NA,NA
771,17890,307,1.2%,2018,ALEXANDRE KNOPLOCH,PSL,DEPUTADO ESTADUAL
772,65655,294,1.2%,2018,ROBSON BESSA,PC do B,DEPUTADO ESTADUAL
773,17120,261,1%,2018,ALANA PASSOS,PSL,DEPUTADO ESTADUAL
774,25622,249,1%,2018,CARLO CAIADO,DEM,DEPUTADO ESTADUAL
775,50007,239,1%,2018,RENATA SOUZA,PSOL,DEPUTADO ESTADUAL
776,19777,229,0.9%,2018,BEBETO TETRA,PODE,DEPUTADO ESTADUAL
777,NA,211,0.8%,2018,DEM,NA,NA
778,12500,205,0.8%,2018,THIAGO PAMPOLHA,PDT,DEPUTADO ESTADUAL
779,10007,186,0.7%,2018,JAYME EDUARDO,PRB,DEPUTADO ESTADUAL
780,13011,184,0.7%,2018,ADELSON GUEDES,PT,DEPUTADO ESTADUAL
781,25333,165,0.7%,2018,FILIPE SOARES,DEM,DEPUTADO ESTADUAL
782,NA,159,0.6%,2018,AVANTE,NA,NA
783,55800,157,0.6%,2018,JORGE FELIPPE NETO,PSD,DEPUTADO ESTADUAL
784,NA,155,0.6%,2018,PDT,NA,NA
785,NA,153,0.6%,2018,PSOL,NA,NA
